VIN (1-10),State,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,charge_freq
1C4JJXP60M,Wa,2021,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,25,0,34
1C4JJXP60N,Wa,2022,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,26
1C4JJXP61M,Wa,2021,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,25,0,44
1C4JJXP61N,Wa,2022,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,32
1C4JJXP62M,Wa,2021,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,25,0,36
1C4JJXP62N,Wa,2022,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,23
1C4JJXP63M,Wa,2021,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,25,0,30
1C4JJXP63N,Wa,2022,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,24
1C4JJXP64M,Wa,2021,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,25,0,35
1C4JJXP64N,Wa,2022,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,24
1C4JJXP65M,Wa,2021,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,25,0,32
1C4JJXP65N,Wa,2022,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,32
1C4JJXP66M,Wa,2021,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,25,0,44
1C4JJXP66N,Wa,2022,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,25
1C4JJXP67M,Wa,2021,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,25,0,38
1C4JJXP67N,Wa,2022,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,32
1C4JJXP68M,Wa,2021,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,25,0,28
1C4JJXP68N,Wa,2022,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,24
1C4JJXP69M,Wa,2021,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,25,0,35
1C4JJXP69N,Wa,2022,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,31
1C4JJXP6XM,Wa,2021,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,25,0,41
1C4JJXP6XN,Wa,2022,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,29
1C4JJXR60M,Wa,2021,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,22
1C4JJXR60N,Wa,2022,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,22,0,18
1C4JJXR61M,Wa,2021,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,14
1C4JJXR61N,Wa,2022,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,22,0,16
1C4JJXR62M,Wa,2021,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,24
1C4JJXR62N,Wa,2022,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,22,0,20
1C4JJXR63M,Wa,2021,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,13
1C4JJXR63N,Wa,2022,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,22,0,11
1C4JJXR64M,Wa,2021,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,22
1C4JJXR64N,Wa,2022,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,22,0,16
1C4JJXR65M,Wa,2021,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,17
1C4JJXR65N,Wa,2022,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,22,0,11
1C4JJXR66M,Wa,2021,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,23
1C4JJXR66N,Wa,2022,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,22,0,16
1C4JJXR67M,Wa,2021,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,21
1C4JJXR67N,Wa,2022,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,22,0,13
1C4JJXR68M,Wa,2021,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,26
1C4JJXR68N,Wa,2022,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,22,0,17
1C4JJXR69M,Wa,2021,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,21
1C4JJXR69N,Wa,2022,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,22,0,13
1C4JJXR6XM,Wa,2021,Jeep,Wrangler,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,24
